                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.3475,                0.99987,                 1.1076,                0.70179,                0.68188,                0.72717,                0.39493,                 1.5075,                 1.0507,                 1.1898,              0.0014456,              0.0014456,              0.0014456
                    114,                 1.3449,                0.99806,                 1.1065,                0.69295,                0.67005,                0.72157,                 0.3932,                 1.4887,                 1.0673,                 1.1788,              0.0014406,              0.0014406,              0.0014406
                    115,                  1.335,                0.98915,                 1.1057,                0.71207,                0.65593,                0.71873,                0.39312,                 1.4977,                 1.0545,                 1.1877,              0.0014357,              0.0014357,              0.0014357
                    116,                 1.3483,                0.99485,                 1.1087,                0.66731,                0.68098,                0.71566,                0.38966,                 1.5065,                 1.0587,                 1.2005,              0.0014307,              0.0014307,              0.0014307
                    117,                 1.3464,                 1.0095,                 1.1138,                0.70681,                0.67154,                0.72575,                0.39709,                 1.4971,                 1.0567,                 1.1876,              0.0014258,              0.0014258,              0.0014258
                    118,                 1.3646,                 1.0077,                  1.124,                0.69036,                0.67545,                0.72108,                0.39526,                 1.4938,                 1.0538,                 1.1913,              0.0014208,              0.0014208,              0.0014208
                    119,                 1.3504,                0.99799,                  1.106,                0.68495,                   0.68,                0.71759,                0.39004,                 1.5077,                 1.0582,                 1.1786,              0.0014159,              0.0014159,              0.0014159
                    120,                 1.3348,                0.98513,                 1.1102,                0.69528,                0.67382,                 0.7185,                0.39275,                 1.5165,                 1.0662,                 1.1824,               0.001411,               0.001411,               0.001411
                    121,                 1.3395,                0.98541,                 1.1074,                0.69884,                0.67967,                0.72474,                0.39838,                 1.4945,                 1.0562,                 1.1823,               0.001406,               0.001406,               0.001406
                    122,                 1.3334,                0.97531,                 1.1003,                 0.7007,                 0.6735,                0.71975,                0.39183,                 1.5134,                 1.0559,                 1.1847,              0.0014011,              0.0014011,              0.0014011
                    123,                 1.3426,                0.98792,                 1.1013,                0.69968,                0.67505,                0.72639,                  0.398,                 1.4927,                 1.0531,                 1.1855,              0.0013961,              0.0013961,              0.0013961
                    124,                 1.3493,                  1.002,                 1.1133,                0.70533,                 0.6826,                0.72396,                  0.397,                 1.4947,                 1.0504,                 1.1776,              0.0013912,              0.0013912,              0.0013912
                    125,                 1.3283,                0.97476,                 1.1072,                0.70955,                0.67707,                0.72255,                0.39535,                  1.501,                 1.0484,                 1.1867,              0.0013862,              0.0013862,              0.0013862
                    126,                 1.3346,                0.99186,                 1.1028,                0.69896,                0.69301,                0.72733,                0.40063,                 1.4829,                  1.046,                 1.1822,              0.0013813,              0.0013813,              0.0013813
                    127,                 1.3653,                 1.0107,                 1.1043,                0.70629,                0.67057,                 0.7166,                0.38782,                 1.5248,                 1.0641,                 1.1884,              0.0013763,              0.0013763,              0.0013763
                    128,                  1.333,                0.98419,                  1.101,                 0.6966,                0.68163,                0.71869,                0.39149,                 1.5096,                 1.0565,                 1.1827,              0.0013714,              0.0013714,              0.0013714
                    129,                 1.3319,                 0.9779,                 1.1048,                 0.6929,                0.69193,                0.72934,                0.39714,                 1.5088,                 1.0599,                  1.191,              0.0013664,              0.0013664,              0.0013664
                    130,                 1.3265,                0.97663,                 1.1034,                0.70529,                0.67545,                0.71589,                0.39199,                 1.4907,                 1.0677,                 1.1734,              0.0013615,              0.0013615,              0.0013615
                    131,                 1.3344,                0.98804,                 1.1059,                0.69047,                0.67285,                0.70932,                0.38447,                 1.5032,                 1.0839,                 1.1811,              0.0013565,              0.0013565,              0.0013565
                    132,                 1.3373,                0.98171,                 1.1088,                0.70174,                0.66309,                0.71863,                0.40079,                 1.4686,                 1.0541,                 1.1768,              0.0013515,              0.0013515,              0.0013515
                    133,                 1.3345,                0.99069,                 1.1041,                0.68777,                0.67382,                0.71877,                0.40108,                 1.4684,                 1.0507,                 1.1834,              0.0013466,              0.0013466,              0.0013466
                    134,                 1.3465,                0.99873,                 1.1087,                0.69095,                0.68585,                0.72345,                0.39558,                 1.4977,                 1.0452,                 1.1849,              0.0013417,              0.0013417,              0.0013417
                    135,                 1.3224,                 1.0745,                 1.1057,                  0.699,                 0.6852,                0.73187,                0.40252,                 1.4948,                 1.0262,                 1.1815,              0.0013367,              0.0013367,              0.0013367
                    136,                  1.337,                 0.9706,                 1.1069,                0.71106,                0.66537,                0.71675,                0.39403,                 1.4988,                 1.0381,                 1.1915,              0.0013318,              0.0013318,              0.0013318
                    137,                 1.3321,                 0.9666,                 1.1013,                0.69811,                0.67545,                0.72261,                0.39682,                 1.5015,                 1.0543,                 1.1858,              0.0013268,              0.0013268,              0.0013268
                    138,                 1.3375,                0.96537,                 1.1023,                0.68058,                0.68735,                0.71508,                0.39037,                 1.5045,                 1.0543,                 1.1733,              0.0013219,              0.0013219,              0.0013219
                    139,                 1.3266,                0.96615,                 1.0938,                0.71252,                0.66374,                0.72529,                0.40042,                 1.4807,                 1.0328,                  1.174,              0.0013169,              0.0013169,              0.0013169
                    140,                 1.3319,                0.97833,                 1.1062,                 0.7076,                0.67682,                0.72912,                0.39509,                 1.5175,                  1.048,                 1.1913,               0.001312,               0.001312,               0.001312
                    141,                 1.3157,                0.96171,                 1.0949,                0.68451,                0.70309,                0.72419,                0.39876,                 1.4959,                 1.0419,                 1.1816,               0.001307,               0.001307,               0.001307
                    142,                 1.3154,                0.95588,                 1.0971,                0.68168,                0.68715,                0.72086,                0.39733,                 1.4908,                 1.0462,                 1.1829,               0.001302,               0.001302,               0.001302
                    143,                 1.3311,                0.96835,                 1.0982,                0.70702,                0.67317,                0.72945,                0.40307,                 1.4893,                 1.0418,                 1.1811,              0.0012971,              0.0012971,              0.0012971
                    144,                 1.3245,                0.95952,                 1.0992,                0.70745,                0.67967,                0.72766,                0.40288,                 1.4756,                 1.0369,                 1.1749,              0.0012922,              0.0012922,              0.0012922
                    145,                 1.3011,                0.96027,                 1.0859,                0.69078,                0.69161,                 0.7226,                0.40074,                 1.4783,                 1.0388,                 1.1778,              0.0012872,              0.0012872,              0.0012872
