                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4261,                 1.9434,                 1.1091,                  1.104,                0.65681,                 0.6728,                0.69323,                0.37144,                0.67758,                0.67772,                0.70636,                0.34311,                 1.5159,                 2.0662,                 1.1433,                 1.1399,              0.0016386,              0.0016386,              0.0016386
                     75,                 1.4368,                 1.9376,                 1.1064,                 1.1064,                0.66127,                0.66027,                0.68353,                0.36962,                0.67728,                0.67512,                 0.6983,                0.34119,                 1.5159,                 2.0505,                 1.1401,                 1.1342,              0.0016337,              0.0016337,              0.0016337
                     76,                 1.4415,                 1.9572,                 1.1103,                 1.1031,                0.66749,                 0.6737,                 0.6992,                0.38205,                0.68955,                0.66439,                0.69877,                0.33895,                 1.5057,                 2.1744,                 1.1203,                 1.1331,              0.0016287,              0.0016287,              0.0016287
                     77,                 1.4408,                 1.9244,                 1.1312,                 1.1077,                0.68563,                0.65073,                0.70683,                0.37887,                0.69514,                0.66341,                0.71876,                0.34827,                 1.5334,                 2.0294,                 1.1524,                 1.1497,              0.0016238,              0.0016238,              0.0016238
                     78,                 1.4235,                 1.9235,                 1.1059,                 1.0993,                0.67131,                 0.6768,                0.69826,                 0.3691,                0.69231,                0.67967,                0.70967,                0.34871,                  1.534,                 2.0718,                 1.1275,                  1.146,              0.0016189,              0.0016189,              0.0016189
                     79,                 1.4497,                 1.9498,                 1.1355,                 1.1116,                 0.6784,                0.66894,                0.70021,                0.37624,                0.68767,                0.67642,                0.71137,                0.35186,                 1.5037,                 2.0034,                 1.1166,                 1.1338,              0.0016139,              0.0016139,              0.0016139
                     80,                 1.4156,                 1.8864,                 1.0853,                 1.0996,                0.65035,                0.66374,                0.68859,                0.37535,                0.66026,                0.67967,                0.70506,                0.35603,                 1.5109,                 1.9408,                 1.1194,                 1.1374,              0.0016089,              0.0016089,              0.0016089
                     81,                 1.4158,                 1.9059,                 1.0971,                 1.0984,                0.66639,                0.65999,                0.69821,                0.38125,                0.66934,                0.66291,                0.69708,                0.33262,                 1.4969,                 2.1349,                 1.1138,                 1.1385,               0.001604,               0.001604,               0.001604
                     82,                 1.4212,                 1.9242,                 1.0884,                 1.0977,                0.66559,                0.64715,                0.69394,                0.37439,                0.67936,                0.65756,                0.70389,                0.34221,                 1.5049,                 2.0271,                 1.1432,                 1.1356,              0.0015991,              0.0015991,              0.0015991
                     83,                  1.428,                 1.9083,                 1.1003,                 1.1005,                0.70219,                0.65366,                0.70765,                0.37931,                0.71616,                0.65805,                0.71187,                0.34444,                 1.5156,                 2.1069,                 1.1099,                 1.1446,              0.0015941,              0.0015941,              0.0015941
                     84,                 1.4336,                  1.936,                 1.1153,                 1.1156,                0.66313,                0.67837,                0.70474,                0.37922,                0.68214,                0.67557,                0.71116,                0.34891,                 1.5227,                 2.0335,                 1.1204,                 1.1428,              0.0015892,              0.0015892,              0.0015892
                     85,                 1.4131,                 1.8985,                 1.0911,                 1.0976,                0.65952,                0.65431,                0.68927,                0.37301,                0.66367,                0.67057,                0.69734,                0.33326,                 1.5104,                  2.107,                 1.1324,                 1.1437,              0.0015842,              0.0015842,              0.0015842
                     86,                  1.421,                 1.9502,                 1.1139,                 1.1049,                0.66096,                0.66797,                 0.7004,                0.36827,                0.68521,                0.67837,                0.72068,                0.35837,                 1.5431,                 1.9822,                 1.1243,                 1.1485,              0.0015793,              0.0015793,              0.0015793
                     87,                 1.4124,                 1.9202,                 1.0997,                 1.0974,                0.66906,                0.65548,                0.70267,                0.38008,                0.68819,                0.66081,                 0.7154,                0.35136,                  1.501,                 2.0532,                  1.121,                 1.1345,              0.0015743,              0.0015743,              0.0015743
                     88,                  1.431,                 1.9078,                 1.0985,                 1.0999,                0.67026,                0.66959,                0.70563,                0.38184,                0.68101,                0.68878,                 0.7161,                0.35451,                 1.5018,                  2.053,                 1.1067,                 1.1393,              0.0015693,              0.0015693,              0.0015693
                     89,                 1.4197,                 1.9209,                 1.1009,                 1.1009,                0.66922,                0.67187,                0.69479,                0.37383,                 0.6825,                0.68157,                0.70918,                0.34776,                 1.5071,                 2.0743,                 1.1122,                 1.1408,              0.0015644,              0.0015644,              0.0015644
                     90,                 1.4219,                 1.8962,                 1.0896,                 1.1067,                0.65318,                0.68413,                0.70304,                 0.3716,                0.67018,                0.69186,                0.71713,                0.36403,                 1.5493,                 2.0116,                 1.1256,                 1.1436,              0.0015594,              0.0015594,              0.0015594
                     91,                 1.4064,                  1.905,                 1.0978,                 1.0915,                0.67307,                0.66992,                0.70513,                0.38344,                0.68592,                0.68039,                0.71562,                0.35616,                 1.4947,                  2.024,                 1.1004,                 1.1255,              0.0015545,              0.0015545,              0.0015545
                     92,                 1.4104,                 1.9223,                 1.1106,                 1.0987,                0.67797,                0.66617,                0.71256,                0.38613,                0.68459,                0.67267,                0.72217,                0.34833,                 1.4875,                 2.0135,                 1.0969,                  1.127,              0.0015496,              0.0015496,              0.0015496
                     93,                 1.3963,                 1.8757,                 1.0794,                 1.0852,                0.68665,                0.67089,                0.71048,                0.38669,                0.70215,                 0.6813,                 0.7271,                0.36465,                 1.4931,                 1.9818,                 1.0972,                 1.1251,              0.0015446,              0.0015446,              0.0015446
                     94,                 1.4111,                  1.901,                 1.0795,                 1.0841,                0.68316,                0.66276,                0.70113,                0.37376,                0.69251,                 0.6782,                0.71921,                 0.3589,                   1.54,                 2.0398,                 1.1063,                  1.147,              0.0015397,              0.0015397,              0.0015397
                     95,                 1.4113,                 1.9228,                 1.0967,                 1.0931,                0.68196,                0.66992,                0.70596,                0.38087,                0.68773,                0.67902,                0.71195,                0.34898,                 1.5055,                 2.1031,                 1.0978,                 1.1305,              0.0015347,              0.0015347,              0.0015347
                     96,                 1.4087,                 1.8665,                  1.082,                 1.0882,                0.68553,                0.66341,                0.70486,                0.38082,                0.69824,                0.67875,                0.71989,                0.36185,                 1.5172,                 1.9928,                 1.0882,                 1.1411,              0.0015298,              0.0015298,              0.0015298
                     97,                 1.4082,                 1.8853,                 1.0732,                 1.0946,                0.66634,                0.68065,                0.70559,                0.38502,                0.67652,                0.69106,                0.71484,                0.35672,                 1.4947,                  2.024,                 1.0993,                 1.1242,              0.0015248,              0.0015248,              0.0015248
                     98,                 1.4032,                 1.8865,                 1.0788,                 1.0943,                0.68043,                0.66679,                0.70507,                0.38235,                 0.6772,                0.68498,                0.71727,                0.35135,                 1.5108,                 2.0414,                 1.0945,                 1.1338,              0.0015199,              0.0015199,              0.0015199
